Address,Telephone,Email,ADDRESS_M,POSTCODE_M,UPRN,X_COORDINATE,Y_COORDINATE,MATCH,MATCH_DESCRIPTION
"Clarkston P.S. Nursery Class, 17 Findhorn Place Airdrie ML8 7HE",01236 794805,enquiries-at-clarkston@northlan.org.uk,"CLARKSTON PRIMARY SCHOOL, 2, FINDHORN PLACE, AIRDRIE, ML6 7HE",ML6 7HE,118177859,277664.0,666110.0,0.6,MATCHED
"Glengowan Nursery Class, Drumfin Avenue Caldercruix By Airdrie ML6 7QP",01236 632154,enquiries-at-glengowan@northlan.org.uk,"GLENGOWAN PRIMARY SCHOOL, DRUMFIN AVENUE, CALDERCRUIX, AIRDRIE, ML6 7QP",ML6 7QP,118181185,282215.0,667903.0,0.7,MATCHED
"St David's Nursery Class, Meadowhead Road Plains Airdrie ML6 7JF",01236 632142,enquiries-at-st-davids@northlan.org.uk,"MEADOWVIEW, MEADOWHEAD ROAD, PLAINS, AIRDRIE, ML6 7JF",ML6 7JF,118008336,278918.0,666937.0,0.6,MATCHED
"St Edward's Nursery Class, South Biggar Road Airdrie ML6 9LZ",01236 794830,enquiries-at-st-edwards@northlan.org.uk,"16, SOUTH BIGGAR ROAD, AIRDRIE, ML6 9LZ",ML6 9LZ,118140367,276923.0,665321.0,0.5,REVIEW REQUIRED
"Tollbrae Gaelic Unit, South Biggar Road Airdrie ML6 9LZ",01236 794886,enquiries-at-tollbrae@northlan.org.uk,"TOLLBRAE PRIMARY SCHOOL, SOUTH BIGGAR ROAD, AIRDRIE, ML6 9LZ",ML6 9LZ,118140436,276995.0,665303.0,0.7,MATCHED
"Tollbrae Nursery Class, South Biggar Road Airdrie ML6 9LZ",01236 794886,enquiries-at-tollbrae@northlan.org.uk,"TOLLBRAE PRIMARY SCHOOL, SOUTH BIGGAR ROAD, AIRDRIE, ML6 9LZ",ML6 9LZ,118140436,276995.0,665303.0,0.7,MATCHED
"Bellshill Family Learning Centre, 91 Deans Street Bellshill ML4 1PD",01698 522707,bellshillflc@northlan.org.uk,"NORTH LANARKSHIRE COUNCIL, BELLSHILL NURSERY CENTRE, 91, DEAN STREET, BELLSHILL, ML4 1PD",ML4 1PD,118116034,273676.0,660165.0,0.6,MATCHED
"Holy Family Nursery Class, Hope Street Mossend Bellshill ML4 1QA",01698 274967,enquiries-at-holyfamily@northlan.org.uk,"HOLY FAMILY NURSERY, HOPE STREET, BELLSHILL, ML4 1QA",ML4 1QA,118123897,274224.0,660235.0,0.8,MATCHED
"Mossend Nursery Class, Calder Road Bellshill ML4 2RH",01698 274905,enquiries-at-mossend@northlan.org.uk,"MOSSEND PRIMARY SCHOOL, CALDER ROAD, BELLSHILL, ML4 2RH",ML4 2RH,118070773,274444.0,659984.0,0.7,MATCHED
"Orbiston Nursery Class, Liberty Road Bellshill ML4 2EU",01698 274929,enquiries-at-sacredheart@northlan.org.uk,"ORBISTON NURSERY SCHOOL, LIBERTY ROAD, BELLSHILL, ML4 2EU",ML4 2EU,118063150,273276.05,659405.53,0.8,MATCHED
